timestamp,lauf,datensatz,n_train_soll,n_train_actual,n_test,feature_map,feature_map_reps,ansatz_reps,entanglement,shots,optimization_level,optimizer,max_iter,n_params,circ_depth,gate_count,modell,accuracy,f1_score,precision,recall,t_transpile_s,t_train_s,t_infer_s,t_gesamt_s,status
2026-05-10T12:18:33.528837,1,Iris,30,30,45,ZZFeatureMap,1,1,linear,128,1,COBYLA,50,4,29,41,VQC (RealAmplitudes),0.3333,0.2673,0.2254,0.3333,0.0074,270.9841,8.7428,279.7343,OK
2026-05-10T12:24:26.616258,2,Iris,30,30,45,ZZFeatureMap,1,1,linear,1024,1,COBYLA,50,4,29,41,VQC (RealAmplitudes),0.3333,0.267,0.2227,0.3333,0.0039,345.2133,7.7561,352.9733,OK
2026-05-10T12:29:32.823552,3,Iris,30,30,45,ZZFeatureMap,1,1,full,128,1,COBYLA,50,4,29,41,VQC (RealAmplitudes),0.4222,0.3425,0.2955,0.4222,0.0039,297.7346,8.3641,306.1026,OK
2026-05-10T12:36:22.959648,4,Iris,30,30,45,ZZFeatureMap,1,1,full,1024,1,COBYLA,50,4,29,41,VQC (RealAmplitudes),0.3778,0.3024,0.2533,0.3778,0.0039,401.1049,8.9249,410.0337,OK
2026-05-10T12:43:12.290602,5,Iris,30,30,45,ZZFeatureMap,1,2,linear,128,1,COBYLA,50,6,36,52,VQC (RealAmplitudes),0.3778,0.3034,0.254,0.3778,0.004,400.2284,8.9929,409.2253,OK
2026-05-10T12:50:03.817932,6,Iris,30,30,45,ZZFeatureMap,1,2,linear,1024,1,COBYLA,50,6,36,52,VQC (RealAmplitudes),0.3556,0.284,0.2365,0.3556,0.0039,403.7679,7.6527,411.4245,OK
2026-05-10T12:56:54.623510,7,Iris,30,30,45,ZZFeatureMap,1,2,full,128,1,COBYLA,50,6,36,52,VQC (RealAmplitudes),0.3778,0.3025,0.2523,0.3778,0.0039,401.6589,9.04,410.7028,OK
2026-05-10T13:03:42.595902,8,Iris,30,30,45,ZZFeatureMap,1,2,full,1024,1,COBYLA,50,6,36,52,VQC (RealAmplitudes),0.3556,0.2741,0.2333,0.3556,0.0043,400.0996,7.7668,407.8707,OK
2026-05-10T13:09:27.495664,9,Iris,30,30,45,ZZFeatureMap,2,1,linear,128,1,COBYLA,50,4,42,58,VQC (RealAmplitudes),0.3556,0.2805,0.2399,0.3556,0.0041,335.6748,9.1193,344.7982,OK
2026-05-10T13:15:31.376749,10,Iris,30,30,45,ZZFeatureMap,2,1,linear,1024,1,COBYLA,50,4,42,58,VQC (RealAmplitudes),0.4222,0.3319,0.2801,0.4222,0.0041,355.8049,7.9699,363.7789,OK
2026-05-10T13:21:24.750144,11,Iris,30,30,45,ZZFeatureMap,2,1,full,128,1,COBYLA,50,4,42,58,VQC (RealAmplitudes),0.3556,0.2854,0.2444,0.3556,0.0041,345.5997,7.6667,353.2705,OK
2026-05-10T13:26:40.349420,12,Iris,30,30,45,ZZFeatureMap,2,1,full,1024,1,COBYLA,50,4,42,58,VQC (RealAmplitudes),0.4667,0.3761,0.3155,0.4667,0.004,307.8028,7.6903,315.4971,OK
2026-05-10T13:33:32.689032,13,Iris,30,30,45,ZZFeatureMap,2,2,linear,128,1,COBYLA,50,6,49,69,VQC (RealAmplitudes),0.3333,0.269,0.2267,0.3333,0.004,403.2718,8.9616,412.2374,OK
2026-05-10T13:40:26.263395,14,Iris,30,30,45,ZZFeatureMap,2,2,linear,1024,1,COBYLA,50,6,49,69,VQC (RealAmplitudes),0.3778,0.3062,0.264,0.3778,0.004,404.4044,9.0659,413.4743,OK
2026-05-10T13:47:18.354594,15,Iris,30,30,45,ZZFeatureMap,2,2,full,128,1,COBYLA,50,6,49,69,VQC (RealAmplitudes),0.4,0.319,0.2667,0.4,0.0041,404.1442,7.8409,411.9892,OK
2026-05-10T13:54:12.468741,16,Iris,30,30,45,ZZFeatureMap,2,2,full,1024,1,COBYLA,50,6,49,69,VQC (RealAmplitudes),0.4222,0.3391,0.2861,0.4222,0.0042,406.256,7.7517,414.0119,OK
2026-05-10T14:00:23.213220,17,Iris,30,30,45,PauliFeatureMap,1,1,linear,128,1,COBYLA,50,4,29,41,VQC (RealAmplitudes),0.3778,0.3048,0.2567,0.3778,0.0039,362.8137,7.8229,370.6405,OK
