Modell,Datensatz,Backend,Optimizer,Iterationen,Accuracy,F1,Trainingszeit_s,Inferenzzeit_s
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,COBYLA,50,0.5111,0.4057,38.0302,0.3231
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,COBYLA,100,0.5556,0.4467,47.5039,0.3235
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,COBYLA,150,0.5556,0.4444,41.9784,0.3207
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,COBYLA,200,0.4444,0.3595,48.2921,0.3294
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,SPSA,50,0.5111,0.4075,112.2252,0.3219
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,SPSA,100,0.5556,0.4444,189.1446,0.3254
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,SPSA,150,0.5333,0.4254,261.4977,0.3292
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,SPSA,200,0.5111,0.4057,337.9421,0.326
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,ADAM,50,0.3333,0.2645,611.9295,0.3239
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,ADAM,100,0.3778,0.3001,1227.8034,0.3243
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,ADAM,150,0.3778,0.3025,1861.0865,0.319
VQC (RealAmplitudes),"Iris (3 Klassen, 2 Features, fair)",AerSimulator,ADAM,200,0.3111,0.2476,2444.515,0.319
